countryname	ISOalpha3	ISO3digit	WBcode	WBcode2015
Afghanistan	AFG	4	AFG	AFG
Akrotiri and Dhekelia	XAD	997	XAD	XAD
Åland Islands	ALA	248	ALA	ALA
Albania	ALB	8	ALB	ALB
Algeria	DZA	12	DZA	DZA
American Samoa	ASM	16	ASM	ASM
Andorra	AND	20	AND	ADO
Angola	AGO	24	AGO	AGO
Anguilla	AIA	660	AIA	AIA
Antarctica	ATA	10	ATA	ATA
Antigua and Barbuda	ATG	28	ATG	ATG
Argentina	ARG	32	ARG	ARG
Armenia	ARM	51	ARM	ARM
Aruba	ABW	533	ABW	ABW
Australia	AUS	36	AUS	AUS
Austria	AUT	40	AUT	AUT
Azerbaijan	AZE	31	AZE	AZE
Bahamas	BHS	44	BHS	BHS
Bahrain	BHR	48	BHR	BHR
Bangladesh	BGD	50	BGD	BGD
Barbados	BRB	52	BRB	BRB
Belarus	BLR	112	BLR	BLR
Belgium	BEL	56	BEL	BEL
Belize	BLZ	84	BLZ	BLZ
Benin	BEN	204	BEN	BEN
Bermuda	BMU	60	BMU	BMU
Bhutan	BTN	64	BTN	BTN
Bolivia (Plurinational State of)	BOL	68	BOL	BOL
"Bonaire, Sint Eustatius and Saba"	BES	535	BES	BES
Bosnia and Herzegovina	BIH	70	BIH	BIH
Botswana	BWA	72	BWA	BWA
Bouvet Island	BVT	74	BVT	BVT
Brazil	BRA	76	BRA	BRA
British Indian Ocean Territory	IOT	86	IOT	IOT
Brunei Darussalam	BRN	96	BRN	BRN
Bulgaria	BGR	100	BGR	BGR
Burkina Faso	BFA	854	BFA	BFA
Burundi	BDI	108	BDI	BDI
Cambodia	KHM	116	KHM	KHM
Cameroon	CMR	120	CMR	CMR
Canada	CAN	124	CAN	CAN
Cabo Verde	CPV	132	CPV	CPV
Caspian Sea	XCA	995	XCA	XCA
Cayman Islands	CYM	136	CYM	CYM
Central African Republic	CAF	140	CAF	CAF
Chad	TCD	148	TCD	TCD
Chile	CHL	152	CHL	CHL
China	CHN	156	CHN	CHN
Christmas Island	CXR	162	CXR	CXR
Cocos (Keeling) Islands	CCK	166	CCK	CCK
Colombia	COL	170	COL	COL
Comoros	COM	174	COM	COM
Congo	COG	178	COG	COG
Congo (Democratic Republic of the)	COD	180	COD	ZAR
Cook Islands	COK	184	COK	COK
Costa Rica	CRI	188	CRI	CRI
C™te d'Ivoire	CIV	384	CIV	CIV
Croatia	HRV	191	HRV	HRV
Cuba	CUB	192	CUB	CUB
Curaçao	CUW	531	CUW	CUW
Cyprus	CYP	196	CYP	CYP
Czech Republic	CZE	203	CZE	CZE
Denmark	DNK	208	DNK	DNK
Djibouti	DJI	262	DJI	DJI
Dominica	DMA	212	DMA	DMA
Dominican Republic	DOM	214	DOM	DOM
Ecuador	ECU	218	ECU	ECU
Egypt	EGY	818	EGY	EGY
El Salvador	SLV	222	SLV	SLV
Equatorial Guinea	GNQ	226	GNQ	GNQ
Eritrea	ERI	232	ERI	ERI
Estonia	EST	233	EST	EST
Ethiopia	ETH	231	ETH	ETH
Falkland Islands (Malvinas)	FLK	238	FLK	FLK
Faroe Islands	FRO	234	FRO	FRO
Fiji	FJI	242	FJI	FJI
Finland	FIN	246	FIN	FIN
France	FRA	250	FRA	FRA
French Guiana	GUF	254	GUF	GUF
French Polynesia	PYF	258	PYF	PYF
French Southern Territories	ATF	260	ATF	ATF
Gabon	GAB	266	GAB	GAB
Gambia	GMB	270	GMB	GMB
